Indexer Initialized. Flattened 840 sets into vectors of size 2520

Building Static Game Trees in RAM...
Detected 10 CPU Cores.
Starting multithreaded CFR Training (10000000 games total)...

Time:  1.02184 seconds
Speed: 9.78626e+06 games/sec

Training Complete.

=== LEARNED STRATEGY (Vector Based) ===
Info Set (Card:Hist)     Fold           Call/Check     Bet/Raise      
K:K:rrrrccrr             0.000          0.148          0.852          
K:K:rrrrccrrr            0.000          0.112          0.887          
K:K:rrrrccrrrr           0.000          0.999          0.000          
K:K:rrrrcr               0.000          0.057          0.943          
K:K:rrrrcrr              0.000          0.184          0.816          
K:K:rrrrcrrr             0.024          0.209          0.767          
K:K:rrrrcrrrr            0.000          1.000          0.000          
K:Q:cc                   0.000          1.000          0.000          
K:Q:ccc                  0.000          0.999          0.000          
K:Q:cccr                 0.197          0.803          0.000          
K:Q:cccrr                0.241          0.600          0.158          
K:Q:cccrrr               0.213          0.234          0.553          
K:Q:cccrrrr              0.273          0.727          0.000          
K:Q:ccr                  0.279          0.720          0.000          
K:Q:ccrr                 0.774          0.151          0.075          
K:Q:ccrrr                0.286          0.250          0.464          
K:Q:ccrrrr               0.071          0.929          0.000          
K:Q:crc                  0.000          0.999          0.000          
K:Q:crcc                 0.000          0.941          0.058          
K:Q:crccr                0.000          1.000          0.000          
K:Q:crccrr               0.193          0.785          0.022          
K:Q:crccrrr              0.017          0.098          0.885          
K:Q:crccrrrr             0.091          0.909          0.000          
K:Q:crcr                 0.107          0.892          0.000          
K:Q:crcrr                0.514          0.370          0.116          
K:Q:crcrrr               0.207          0.249          0.544          
K:Q:crcrrrr              0.111          0.889          0.000          
K:Q:crrc                 0.000          0.994          0.006          
K:Q:crrcc                0.000          0.246          0.754          
K:Q:crrccr               0.070          0.929          0.000          
K:Q:crrccrr              0.711          0.288          0.002          
K:Q:crrccrrr             0.089          0.170          0.741          
K:Q:crrccrrrr            0.606          0.394          0.000          
K:Q:crrcr                0.011          0.989          0.000          
K:Q:crrcrr               0.536          0.387          0.077          
K:Q:crrcrrr              0.230          0.296          0.475          
K:Q:crrcrrrr             0.270          0.730          0.000          
K:Q:crrrc                0.000          0.434          0.566          
K:Q:crrrcc               0.000          0.988          0.012          
K:Q:crrrccr              0.000          0.873          0.127          
K:Q:crrrccrr             0.036          0.763          0.201          
K:Q:crrrccrrr            0.021          0.009          0.970          
K:Q:crrrccrrrr           0.248          0.752          0.000          
K:Q:crrrcr               0.002          0.993          0.004          
K:Q:crrrcrr              0.029          0.925          0.045          
K:Q:crrrcrrr             0.525          0.145          0.330          
K:Q:crrrcrrrr            0.831          0.169          0.000          
K:Q:crrrrc               0.000          0.850          0.149          
K:Q:crrrrcc              0.000          0.677          0.323          
K:Q:crrrrccr             0.000          0.990          0.010          
K:Q:crrrrccrr            0.000          0.839          0.161          
K:Q:crrrrccrrr           0.043          0.340          0.617          
K:Q:crrrrccrrrr          0.007          0.993          0.000          
K:Q:crrrrcr              0.000          0.951          0.049          
K:Q:crrrrcrr             0.004          0.989          0.006          
K:Q:crrrrcrrr            0.006          0.784          0.210          
K:Q:crrrrcrrrr           0.176          0.824          0.000          
K:Q:rc                   0.000          0.900          0.100          
K:Q:rcc                  0.000          0.314          0.686          
K:Q:rccr                 0.236          0.764          0.000          
K:Q:rccrr                0.999          0.000          0.000          
K:Q:rccrrr               0.285          0.141          0.573          
K:Q:rccrrrr              0.297          0.703          0.000          
K:Q:rcr                  0.136          0.863          0.000          
K:Q:rcrr                 0.996          0.002          0.002          
K:Q:rcrrr                0.142          0.123          0.735          
K:Q:rcrrrr               0.226          0.774          0.000          
K:Q:rrc                  0.000          0.366          0.634          
K:Q:rrcc                 0.000          0.885          0.114          
K:Q:rrccr                0.001          0.996          0.003          
K:Q:rrccrr               0.124          0.872          0.004          
K:Q:rrccrrr              0.474          0.253          0.273          
K:Q:rrccrrrr             0.228          0.772          0.000          
K:Q:rrcr                 0.134          0.866          0.000          
K:Q:rrcrr                0.892          0.108          0.000          
K:Q:rrcrrr               0.293          0.223          0.485          
K:Q:rrcrrrr              0.643          0.357          0.000          
K:Q:rrrc                 0.000          0.992          0.007          
K:Q:rrrcc                0.000          0.252          0.748          
K:Q:rrrccr               0.005          0.992          0.003          
K:Q:rrrccrr              0.084          0.785          0.131          
